NAME	CLUSTER	SUB-CLUSTER
LS-15014_S28_E1-50	Vip	Vip Krt12
LS-15014_S29_E1-50	Vip	Vip Gpc3 1
LS-15014_S30_E1-50	Vip	Vip Chat_1
LS-15014_S31_E1-50	Vip	Vip Mybpc1_1
LS-15014_S32_E1-50	Vip	Vip Sfrp2 1
LS-15014_S33_E1-50	Vip	Vip Krt12
LS-15014_S34_E1-50	Vip	Vip Gpc3 3
LS-15014_S35_E1-50	Vip	Vip Chat_1
LS-15014_S36_E1-50	Vip	Vip Sfrp2 2
LS-15014_S37_E1-50	Vip	Vip Gpc3 3
LS-15014_S38_E1-50	Vip	Vip Gpc3 1
LS-15014_S39_E1-50	Vip	Vip Mybpc1_1
LS-15014_S40_E1-50	Vip	Vip Chat_1
LS-15014_S41_E1-50	Vip	Vip Lect1
LS-15014_S42_E1-50	Vip	Vip Chat_3
LS-15014_S43_E1-50	Vip	Vip Mybpc1_1
LS-15014_S44_E1-50	Vip	Vip Mybpc1_1
LS-15014_S45_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S46_E1-50	Vip	Vip Chat_3
LS-15014_S47_E1-50	Vip	Vip Sfrp2 1
LS-15014_S48_E1-50	Vip	Vip Krt12
LS-15014_S49_E1-50	Vip	Vip Sfrp2 1
LS-15014_S50_E1-50	Vip	Vip Chat_2
LS-15014_S51_E1-50	Vip	Vip Mybpc1_1
LS-15014_S52_E1-50	Vip	Vip Chat_1
LS-15014_S53_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S54_E1-50	Vip	Vip Sfrp2 1
LS-15014_S55_E1-50	Vip	Vip Prss12_2
LS-15014_S56_E1-50	Vip	Vip Chat_2
LS-15014_S57_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S58_E1-50	Vip 	Vip Cd34_1
LS-15014_S59_E1-50	Vip	Vip Lect1
LS-15014_S60_E1-50	Vip	Vip Krt12
LS-15014_S61_E1-50	Vip	Vip Sfrp2 1
LS-15014_S62_E1-50	Vip	Vip Chat_4
LS-15014_S63_E1-50	Vip	Vip Krt12
LS-15014_S64_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S65_E1-50	Vip	Vip Mybpc1_1
LS-15014_S66_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S67_E1-50	Vip	Vip Sfrp2 1
